supergroup	group	species	taxid	assembly_accession	gc%	annotation_accession	rnaseq_data	long-read_experiments	long-read_reads	short-read_experiments	short-read_reads
Amoebozoa	Amoebozoa	Dictyostelium dimigraforme	142830	GCA_054859025.1	22.5	GCA_054859025.1		0	0	0	0
Amoebozoa	Amoebozoa	Dictyostelium discoideum	44689	GCA_054883475.1	22.5	GCA_054883475.1	short-read only	0	0	2816	83591446997
Amoebozoa	Amoebozoa	Dictyostelium discoideum AX4	352472	GCF_000004695.1	22.5	GCF_000004695.1	short-read only	0	0	314	10783680807
Amoebozoa	Amoebozoa	Dictyostelium firmibasis	79012	GCA_036169595.1	24.0	GCA_036169595.1	short-read only	0	0	3	399401650
Amoebozoa	Amoebozoa	Dictyostelium gargantuum	882403	GCA_015252675.1	31.5		short-read only	0	0	8	288274292
Amoebozoa	Amoebozoa	Dictyostelium intermedium	361076	GCA_000277465.1	25.0			0	0	0	0
Amoebozoa	Amoebozoa	Dictyostelium purpureum	5786	GCF_000190715.1	24.5	GCF_000190715.1	short-read only	0	0	18	264177039
Amoebozoa	Amoebozoa	Entamoeba dispar	46681	GCA_057946545.1	23.0	GCA_057946545.1	short-read only	0	0	10	1484653476
Amoebozoa	Amoebozoa	Entamoeba dispar SAW760	370354	GCF_000209125.1	24.0	GCF_000209125.1		0	0	0	0
Amoebozoa	Amoebozoa	Entamoeba histolytica	5759	GCA_057946535.1	24.0	GCA_057946535.1	short-read, long-read	3	1579226	270	13232395592
Amoebozoa	Amoebozoa	Entamoeba histolytica DS4-868	885310	GCA_018466815.1	24.5			0	0	0	0
Amoebozoa	Amoebozoa	Entamoeba histolytica HM-1:IMSS	294381	GCF_000208925.1	24.5	GCF_000208925.1	short-read only	0	0	9	683560194
Amoebozoa	Amoebozoa	Entamoeba histolytica HM-1:IMSS-A	885318	GCA_000365475.1	25.0	GCA_000365475.1		0	0	0	0
Amoebozoa	Amoebozoa	Entamoeba histolytica HM-1:IMSS-B	885319	GCA_000344925.1	27.0	GCA_000344925.1		0	0	0	0
Amoebozoa	Amoebozoa	Entamoeba histolytica HM-3:IMSS	885315	GCA_000346345.1	25.0	GCA_000346345.1		0	0	0	0
Amoebozoa	Amoebozoa	Entamoeba histolytica KU27	885311	GCA_000338855.1	25.0	GCA_000338855.1		0	0	0	0
Amoebozoa	Amoebozoa	Entamoeba histolytica KU48	885312	GCA_019059535.1	24.5			0	0	0	0
Amoebozoa	Amoebozoa	Entamoeba histolytica KU50	885313	GCA_020283535.1	25.5			0	0	0	0
Amoebozoa	Amoebozoa	Entamoeba histolytica MS96-3382	885314	GCA_020283505.1	24.5			0	0	0	0
Amoebozoa	Amoebozoa	Entamoeba invadens IP1	370355	GCF_000330505.1	30.0	GCF_000330505.1		0	0	0	0
Amoebozoa	Amoebozoa	Entamoeba marina	1621016	GCA_051620835.1	25.5	GCA_051620835.1	short-read only	0	0	1	27894854
Amoebozoa	Amoebozoa	Entamoeba moshkovskii	41668	GCA_002914575.1	29.5		short-read only	0	0	4	437902969
Amoebozoa	Amoebozoa	Entamoeba nuttalli	412467	GCA_045861985.1	24.0	GCA_045861985.1	short-read only	0	0	1	419657012
Amoebozoa	Amoebozoa	Entamoeba nuttalli P19	1076696	GCF_000257125.1	25.0	GCF_000257125.1		0	0	0	0
Amoebozoa	Amoebozoa	Heterostelium album PN500	670386	GCF_000004825.1	32.0	GCF_000004825.1	short-read only	0	0	1	0
Amoebozoa	Amoebozoa	Heterostelium multicystogenum	1037917	GCA_003667245.1	38.5			0	0	0	0
Amoebozoa	Amoebozoa	Heterostelium pallidum	13642	GCA_054501735.1	28.0		short-read only	0	0	18	469756067
Amoebozoa	Amoebozoa	Mastigamoeba balamuthi	108607	GCA_902651635.1	60.5		short-read only	0	0	1	12316816
Amoebozoa	Amoebozoa	Paramoeba atlantica	1077153	GCA_977017615.1	36.0		short-read only	0	0	2	124962732
Amoebozoa	Amoebozoa	Paramoeba pemaquidensis	180228	GCA_002151225.1	41.0		short-read only	0	0	2	331468864
Amoebozoa	Amoebozoa	Pelomyxa schiedti	1580589	GCA_020536535.1	46.5	GCA_020536535.1	short-read only	0	0	5	41599362
Amoebozoa	Amoebozoa	Planoprotostelium fungivorum	1890364	GCA_003024175.1	48.0	GCA_003024175.1	short-read only	0	0	9	431804938
Amoebozoa	Amoebozoa	Polysphondylium violaceum	133409	GCA_000277445.1	32.0	GCA_000277445.1	short-read only	0	0	12	514018132
Amoebozoa	Amoebozoa	Protostelium mycophagum	472931	GCA_002081555.1	42.0			0	0	0	0
Amoebozoa	Amoebozoa	Speleostelium caveatum	361096	GCA_003667305.1	29.0			0	0	0	0
Amoebozoa	Amoebozoa	Tieghemostelium lacteum	361077	GCA_001606155.1	30.0	GCA_001606155.1	short-read only	0	0	9	220790750
Amoebozoa	Amoebozoa	Trichosphaerium sp. ATCC 40318	498012	GCA_038496445.1	37.5		short-read only	0	0	10	191727051
Amoebozoa	Amoebozoa	Vannella sp.	1973054	GCA_023345925.1	50.0		short-read only	0	0	1	24206838
Amoebozoa	Amoebozoa	Vermamoeba vermiformis	5778	GCA_020696425.1	42.5		short-read only	0	0	2	158473530
Archaeplastida	Chlorophyta	Acetabularia acetabulum	35845	GCA_963931735.1	51.5		short-read only	0	0	59	2010239108
Archaeplastida	Chlorophyta	Acutodesmus raciborskii	91194	GCA_055515155.1	55.5			0	0	0	0
Archaeplastida	Chlorophyta	Apatococcus fuscideae	2026836	GCA_040144375.1	52.5	GCA_040144375.1	short-read only	0	0	1	43224334
Archaeplastida	Chlorophyta	Apatococcus lobatus	904363	GCA_040144355.1	51.5	GCA_040144355.1	short-read only	0	0	1	36939836
Archaeplastida	Chlorophyta	Asterochloris erici	60131	GCA_019693375.1	58.5			0	0	0	0
Archaeplastida	Chlorophyta	Asterochloris sp. CNOR1	3094912	GCA_963969365.1	58.0			0	0	0	0
Archaeplastida	Chlorophyta	Asterochloris sp. CNOR2	3094913	GCA_964198605.1	55.5			0	0	0	0
Archaeplastida	Chlorophyta	Asterochloris sp. astero_kon2022	3449419	GCA_054654935.1	58.5			0	0	0	0
Archaeplastida	Chlorophyta	Astrephomene gubernaculifera	47775	GCA_021605115.1	60.0	GCA_021605115.1	short-read only	0	0	7	145767514
Archaeplastida	Chlorophyta	Auxenochlorella protothecoides	3075	GCF_000733215.1	63.5	GCF_000733215.1	short-read only	0	0	53	1874190092
Archaeplastida	Chlorophyta	Auxenochlorella protothecoides x Auxenochlorella symbiontica	3385098	GCA_050947055.1	64.0	GCA_050947055.1	short-read only	0	0	15	1101470522
Archaeplastida	Chlorophyta	Auxenochlorella pyrenoidosa	3078	GCA_047663505.1	67.0		short-read only	0	0	269	12745269727
Archaeplastida	Chlorophyta	Auxenochlorella symbiontica	634936	GCA_052818915.1	64.0			0	0	0	0
Archaeplastida	Chlorophyta	Axilococcus clingmanii	2511175	GCA_019693495.1	46.5			0	0	0	0
Archaeplastida	Chlorophyta	Bathycoccaceae sp.	2922361	GCA_029297925.1	60.5			0	0	0	0
Archaeplastida	Chlorophyta	Bathycoccus calidus	3126210	GCA_041642835.1	49.0			0	0	0	0
Archaeplastida	Chlorophyta	Bathycoccus prasinos	41875	GCF_002220235.1	48.0	GCF_002220235.1	short-read only	0	0	8	546952136
Archaeplastida	Chlorophyta	Bathycoccus sp.	2812571	GCA_041642795.1	49.0			0	0	0	0
Archaeplastida	Chlorophyta	Bathycoccus sp. SAG1	2589996	GCA_009618075.1	45.5			0	0	0	0
Archaeplastida	Chlorophyta	Bathycoccus sp. SAG2	2589997	GCA_009618095.1	47.0			0	0	0	0
Archaeplastida	Chlorophyta	Bathycoccus sp. SAG3	2589998	GCA_009618085.1	46.5			0	0	0	0
Archaeplastida	Chlorophyta	Bathycoccus sp. SAG4	2589999	GCA_009618065.1	46.5			0	0	0	0
Archaeplastida	Chlorophyta	Bathycoccus sp. TOSAG39-1	1735750	GCA_900128745.1	47.5			0	0	0	0
Archaeplastida	Chlorophyta	Bathycoccus sp. UST710	3126173	GCA_041315385.1	48.5			0	0	0	0
Archaeplastida	Chlorophyta	Blastophysa rhizopus	619706	GCA_032356065.1	61.5			0	0	0	0
Archaeplastida	Chlorophyta	Botryococcus braunii	38881	GCA_040970285.1	52.5		short-read only	0	0	41	1807061846
Archaeplastida	Chlorophyta	Bryopsis sp. KO-2023	3041901	GCA_056365555.1	46.5	GCA_056365555.1	short-read only	0	0	2	135703910
Archaeplastida	Chlorophyta	Caulerpa lentillifera	148947	GCA_046862455.1	43.5		short-read, long-read	1	11048	8	967279062
Archaeplastida	Chlorophyta	Caulerpa prolifera	76314	GCA_981451205.1	43.5		short-read only	0	0	1	144084038
Archaeplastida	Chlorophyta	Characiochloris sp. AAM3	2053599	GCA_004335845.1	54.0			0	0	0	0
Archaeplastida	Chlorophyta	Chlamydomonas applanata	35704	GCA_001662365.1	59.5			0	0	0	0
Archaeplastida	Chlorophyta	Chlamydomonas asymmetrica	51683	GCA_001662385.1	59.0			0	0	0	0
Archaeplastida	Chlorophyta	Chlamydomonas eustigma	1157962	GCA_002335675.1	45.0	GCA_002335675.1	short-read only	0	0	1	32251678
Archaeplastida	Chlorophyta	Chlamydomonas incerta	51695	GCA_016834605.1	66.0	GCA_016834605.1	short-read only	0	0	1	54722332
Archaeplastida	Chlorophyta	Chlamydomonas pacifica	3298625	GCA_048987325.1	62.0		short-read only	0	0	4	581239816
Archaeplastida	Chlorophyta	Chlamydomonas reinhardtii	3055	GCF_000002595.2	64.0	GCF_000002595.2	short-read, long-read	5	237806211	3484	149750877026
Archaeplastida	Chlorophyta	Chlamydomonas schloesseri	2026947	GCA_016834595.1	64.5	GCA_016834595.1	short-read only	0	0	2	214479858
Archaeplastida	Chlorophyta	Chlamydomonas sp. 3112	2053600	GCA_004335865.1	63.0			0	0	0	0
Archaeplastida	Chlorophyta	Chlamydomonas sp. 3222	2056388	GCA_004335795.1	63.0			0	0	0	0
Archaeplastida	Chlorophyta	Chlamydomonas sp. AIC	2056389	GCA_004335895.1	57.0			0	0	0	0
Archaeplastida	Chlorophyta	Chlamydomonas sp. ICE-L	309537	GCA_013435795.1	49.0		short-read only	0	0	33	1793817942
Archaeplastida	Chlorophyta	Chlamydomonas sp. KOR1	2816335	GCA_036984285.1	62.5		short-read only	0	0	15	629514664
Archaeplastida	Chlorophyta	Chlamydomonas sp. UWO 241	1653778	GCA_016618255.1	60.5	GCA_016618255.1	short-read only	0	0	24	1376265398
Archaeplastida	Chlorophyta	Chlamydomonas sp. WS3	2056390	GCA_004335755.2	65.0			0	0	0	0
Archaeplastida	Chlorophyta	Chlamydomonas sp. WS7	2056391	GCA_004335715.2	65.5			0	0	0	0
Archaeplastida	Chlorophyta	Chlamydomonas sphaeroides	28458	GCA_001662425.1	68.0			0	0	0	0
Archaeplastida	Chlorophyta	Chlamydomonas urium	3094832	GCA_039880955.1	59.5			0	0	0	0
Archaeplastida	Chlorophyta	Chlorella ohadii	2649997	GCA_025026875.1	64.0	GCA_025026875.1	short-read only	0	0	12	533188764
Archaeplastida	Chlorophyta	Chlorella sorokiniana	3076	GCA_025917655.1	66.0		short-read, long-read	1	932590	327	17279939346
Archaeplastida	Chlorophyta	Chlorella sp.	3079	GCA_029286985.1	64.0		short-read only	0	0	91	4387009407
Archaeplastida	Chlorophyta	Chlorella sp. A99	2041167	GCA_003063905.1	70.5			0	0	0	0
Archaeplastida	Chlorophyta	Chlorella sp. ArM0029B	1415603	GCA_002896455.3	63.5		short-read only	0	0	4	176805634
Archaeplastida	Chlorophyta	Chlorella sp. BAC 9706	2756210	GCA_013372505.1	62.0			0	0	0	0
Archaeplastida	Chlorophyta	Chlorella sp. CH2018	2591173	GCA_009928355.1	65.0			0	0	0	0
Archaeplastida	Chlorophyta	Chlorella sp. Dachan	2486357	GCA_006782975.1	65.5			0	0	0	0
Archaeplastida	Chlorophyta	Chlorella sp. KRBP	2056404	GCA_004335735.1	61.5			0	0	0	0
Archaeplastida	Chlorophyta	Chlorella sp. LC-ALGAE-MAG	2977534	GCA_025772305.1	71.5			0	0	0	0
Archaeplastida	Chlorophyta	Chlorella sp. MEM25	3472630	GCA_054051705.1	56.0		short-read only	0	0	12	548141518
Archaeplastida	Chlorophyta	Chlorella sp. NIG-J1	3388571	GCA_054660675.1	67.0		short-read only	0	0	1	329829446
Archaeplastida	Chlorophyta	Chlorella sp. UMT-B8	2692263	GCA_046056165.1	56.0			0	0	0	0
Archaeplastida	Chlorophyta	Chlorella variabilis	554065	GCF_000147415.1	67.0	GCF_000147415.1	short-read only	0	0	19	800099656
Archaeplastida	Chlorophyta	Chlorella vulgaris	3077	GCA_023343905.1	62.0	GCA_023343905.1	short-read only	0	0	214	9480459027
Archaeplastida	Chlorophyta	Chlorocystis dangeardii	2816969	GCA_032270465.1	57.5			0	0	0	0
Archaeplastida	Chlorophyta	Chloroidium saccharophilum	3082	GCA_047655145.1	50.0		short-read only	0	0	6	421346726
Archaeplastida	Chlorophyta	Chloroidium sp. CF	2056392	GCA_004335625.1	52.0			0	0	0	0
Archaeplastida	Chlorophyta	Chloroidium sp. JM	2056393	GCA_004335615.1	52.0			0	0	0	0
Archaeplastida	Chlorophyta	Chloromonas sp. AAM2	2056394	GCA_004335635.1	53.0			0	0	0	0
Archaeplastida	Chlorophyta	Chloromonas typhlos	1006182	GCA_057557395.1	56.5		short-read, long-read	2	14685957	2	602072
Archaeplastida	Chlorophyta	Chlorophyta sp.	2448168	GCA_040265215.1	59.0			0	0	0	0
Archaeplastida	Chlorophyta	Chlorophyta sp. JHNC1	3344743	GCA_047671155.1	55.5			0	0	0	0
Archaeplastida	Chlorophyta	Chloropicon mariensis	1606511	GCA_977109245.1	49.0			0	0	0	0
Archaeplastida	Chlorophyta	Chloropicon primus	1764295	GCA_023205875.1	57.5	GCA_023205875.1	short-read only	0	0	3	90274758
Archaeplastida	Chlorophyta	Chloropicon roscoffensis	1461544	GCA_038396805.1	60.5	GCA_038396805.1	short-read only	0	0	3	609276722
Archaeplastida	Chlorophyta	Chloropicon sieburthii	1764286	GCA_984579735.1	59.0		short-read only	0	0	3	185286085
Archaeplastida	Chlorophyta	Chloropicon sp. RCC7702	3451518	GCA_977880125.1	48.0			0	0	0	0
Archaeplastida	Chlorophyta	Chodatodesmus mucronulatus	1207360	GCA_055515955.1	55.0			0	0	0	0
Archaeplastida	Chlorophyta	Choricystis sp. odSpoLacu1	3025909	GCA_958009055.1	69.5			0	0	0	0
Archaeplastida	Chlorophyta	Chromochloris zofingiensis	31302	GCA_057318505.1	50.5		short-read only	0	0	350	12236186124
Archaeplastida	Chlorophyta	Coccomyxa elongata	1965095	GCA_964261555.1	52.5	GCA_964261555.1	short-read only	0	0	1	0
Archaeplastida	Chlorophyta	Coccomyxa sp. LA000219	1579116	GCA_000812005.1	54.5			0	0	0	0
Archaeplastida	Chlorophyta	Coccomyxa sp. Obi	2315456	GCA_020887355.1	52.0	GCA_020887355.1		0	0	0	0
Archaeplastida	Chlorophyta	Coccomyxa sp. SUA001	1667192	GCA_001244535.1	50.0			0	0	0	0
Archaeplastida	Chlorophyta	Coccomyxa subellipsoidea	248742	GCA_040182555.1	52.5	GCA_040182555.1	short-read only	0	0	8	316402004
Archaeplastida	Chlorophyta	Coccomyxa subellipsoidea C-169	574566	GCF_000258705.1	53.0	GCF_000258705.1	short-read only	0	0	12	227232247
Archaeplastida	Chlorophyta	Coccomyxa viridis	1274662	GCA_964019345.2	54.5	GCA_964019345.2		0	0	0	0
Archaeplastida	Chlorophyta	Coelastrella oocystiformis	75804	GCA_055515895.1	52.0			0	0	0	0
Archaeplastida	Chlorophyta	Coelastrella saipanensis	152631	GCA_058129815.1	51.5			0	0	0	0
Archaeplastida	Chlorophyta	Coelastrella sp. M60	1489057	GCA_001630525.1	52.0			0	0	0	0
Archaeplastida	Chlorophyta	Coelastrella sp. MACC-549	2732638	GCA_018290735.1	51.5			0	0	0	0
Archaeplastida	Chlorophyta	Coelastrella sp. UAM-C/S07	3475542	GCA_054073135.1	52.0			0	0	0	0
Archaeplastida	Chlorophyta	Coelastrella sp. UTEX B 3026	2033643	GCA_002588565.1	52.0			0	0	0	0
Archaeplastida	Chlorophyta	Coelastrella striolata	1169099	GCA_055515855.1	52.0			0	0	0	0
Archaeplastida	Chlorophyta	Coelastrella tenuitheca	2583439	GCA_051903525.1	51.5		short-read only	0	0	9	389695798
Archaeplastida	Chlorophyta	Coelastrella terrestris	75803	GCA_055515835.1	52.0			0	0	0	0
Archaeplastida	Chlorophyta	Coelastrum astroideum	183310	GCA_055515775.1	61.5			0	0	0	0
Archaeplastida	Chlorophyta	Coelastrum microporum	55409	GCA_055515755.1	62.0		short-read only	0	0	1	28612528
Archaeplastida	Chlorophyta	Coelastrum proboscideum var. gracile	795114	GCA_047301145.1	54.0			0	0	0	0
Archaeplastida	Chlorophyta	Coelastrum pseudomicroporum	183313	GCA_055515695.1	54.0			0	0	0	0
Archaeplastida	Chlorophyta	Coelastrum sp. PABB 002	3390819	GCA_048987025.1	67.5			0	0	0	0
Archaeplastida	Chlorophyta	Coelastrum sphaericum	183315	GCA_055515655.1	57.5			0	0	0	0
Archaeplastida	Chlorophyta	Crustomastix stigmatica	195967	GCA_982557705.1	70.0		short-read only	0	0	1	55526100
Archaeplastida	Chlorophyta	Cymbomonas tetramitiformis	36881	GCA_001247695.2	51.5	GCA_001247695.2	short-read only	0	0	1	115092458
Archaeplastida	Chlorophyta	Desmodesmus abundans	77547	GCA_055515635.1	56.5		short-read only	0	0	18	89819618
Archaeplastida	Chlorophyta	Desmodesmus armatus	375941	GCA_007449985.2	56.5		short-read only	0	0	12	755065192
Archaeplastida	Chlorophyta	Desmodesmus bicellularis	91203	GCA_055515615.1	61.5			0	0	0	0
Archaeplastida	Chlorophyta	Desmodesmus communis	31303	GCA_055515595.1	55.5			0	0	0	0
Archaeplastida	Chlorophyta	Desmodesmus costatogranulatus	42692	GCA_055515495.1	68.0			0	0	0	0
Archaeplastida	Chlorophyta	Desmodesmus denticulatus	91205	GCA_055515515.1	53.0			0	0	0	0
Archaeplastida	Chlorophyta	Desmodesmus elegans	370624	GCA_055514875.1	65.0			0	0	0	0
Archaeplastida	Chlorophyta	Desmodesmus hystrix	119576	GCA_055514855.1	55.5			0	0	0	0
Archaeplastida	Chlorophyta	Desmodesmus intermedius	1034616	GCA_055515455.1	62.5			0	0	0	0
Archaeplastida	Chlorophyta	Desmodesmus lunatus	370627	GCA_055515435.1	69.5			0	0	0	0
Archaeplastida	Chlorophyta	Desmodesmus multiformis	3440243	GCA_055515415.1	61.5			0	0	0	0
Archaeplastida	Chlorophyta	Desmodesmus pannonicus	119580	GCA_055515375.1	55.0			0	0	0	0
Archaeplastida	Chlorophyta	Desmodesmus perforatus	119581	GCA_055615895.1	57.5			0	0	0	0
Archaeplastida	Chlorophyta	Desmodesmus sp. Petrobras/FURG	3478462	GCA_057128195.1	61.5	GCA_057128195.1		0	0	0	0
Archaeplastida	Chlorophyta	Desmodesmus sp. SZ-1	3161135	GCA_041682605.1	56.5			0	0	0	0
Archaeplastida	Chlorophyta	Desmodesmus sp. YG-2025a	3469303	GCA_054122255.1	56.5			0	0	0	0
Archaeplastida	Chlorophyta	Desmodesmus ultrasquamatus	370626	GCA_055515355.1	67.0			0	0	0	0
Archaeplastida	Chlorophyta	Deuterostichococcus epilithicus	2710713	GCA_033439295.1	62.0			0	0	0	0
Archaeplastida	Chlorophyta	Diplosphaera chodatii	152768	GCA_032358165.1	60.0		short-read only	0	0	1	154143190
Archaeplastida	Chlorophyta	Draparnaldia sp. CCAC 6921	3345351	GCA_964274485.1	58.0			0	0	0	0
Archaeplastida	Chlorophyta	Dunaliella primolecta	257627	GCA_914767535.2	49.0		short-read only	0	0	1	139327730
Archaeplastida	Chlorophyta	Dunaliella salina	3046	GCA_002284615.2	49.0	GCA_002284615.2	short-read, long-read	2	7823627	230	10465933092
Archaeplastida	Chlorophyta	Dunaliella sp. M2	2056395	GCA_004335885.1	54.5			0	0	0	0
Archaeplastida	Chlorophyta	Dunaliella sp. WIN1	2056397	GCA_004335645.1	51.0			0	0	0	0
Archaeplastida	Chlorophyta	Dunaliella tertiolecta	3047	GCA_031753455.1	49.0		short-read only	0	0	55	877257355
Archaeplastida	Chlorophyta	Edaphochlamys debaryana	47281	GCA_016858145.1	67.0	GCA_016858145.1	short-read only	0	0	3	350484476
Archaeplastida	Chlorophyta	Elliptochloris bilobata	381761	GCA_040144335.1	60.0	GCA_040144335.1	short-read only	0	0	1	41030160
Archaeplastida	Chlorophyta	Enallax coelastroides	3440244	GCA_055515395.1	52.0			0	0	0	0
Archaeplastida	Chlorophyta	Ettlia oleoabundans	1127754	GCA_019693395.1	58.0		short-read only	0	0	54	2958900053
Archaeplastida	Chlorophyta	Eudorina sp. 2006-703-Eu-15	593785	GCA_003117095.1	61.5			0	0	0	0
Archaeplastida	Chlorophyta	Gonium pectorale	33097	GCA_001584585.1	64.5	GCA_001584585.1	short-read only	0	0	1	20249770
Archaeplastida	Chlorophyta	Haematococcus lacustris	44745	GCA_030144725.1	60.0	GCA_030144725.1	short-read, long-read	8	7513387	315	13786176999
Archaeplastida	Chlorophyta	Haematococcus sp. NG2	2056399	GCA_004335575.1	58.0			0	0	0	0
Archaeplastida	Chlorophyta	Halimeda opuntia	118223	GCA_040437675.1	50.5		short-read only	0	0	49	2122002498
Archaeplastida	Chlorophyta	Halochlorella rubescens	77545	GCA_055514995.1	57.0			0	0	0	0
Archaeplastida	Chlorophyta	Helicosporidium sp. ATCC 50920	1291522	GCA_000690575.1	61.5	GCA_000690575.1	short-read only	0	0	1	73143800
Archaeplastida	Chlorophyta	Limnomonas spitsbergensis	2954232	GCA_037349105.1	54.0			0	0	0	0
Archaeplastida	Chlorophyta	Mamiellaceae sp.	2812578	GCA_029297915.1	47.5			0	0	0	0
Archaeplastida	Chlorophyta	Mamiellophyceae sp. 2017MT	2497795	GCA_004115355.1	55.5			0	0	0	0
Archaeplastida	Chlorophyta	Mantoniella sp. RCC395	1764196	GCA_977861565.1	58.5			0	0	0	0
Archaeplastida	Chlorophyta	Marvania coccoides	133487	GCA_963854735.1	55.0			0	0	0	0
Archaeplastida	Chlorophyta	Medakamo hakoo	3113649	GCA_026636295.1	73.0		short-read only	0	0	2	110559392
Archaeplastida	Chlorophyta	Messastrum gracile	81816	GCA_008037345.1	70.0			0	0	0	0
Archaeplastida	Chlorophyta	Micractinium conductrix	554055	GCA_002245815.2	67.5	GCA_002245815.2	short-read, long-read	1	5956697	37	1307500386
Archaeplastida	Chlorophyta	Micractinium sp. CCAP 211/92	554058	GCA_047372805.1	65.0	GCA_047372805.1	short-read only	0	0	1	269094384
Archaeplastida	Chlorophyta	Micractinium sp. NFX-FRZ	2994892	GCA_029339195.1	65.5			0	0	0	0
Archaeplastida	Chlorophyta	Micractinium tetrahymenae	2728915	GCA_047372815.1	65.0	GCA_047372815.1	short-read only	0	0	11	770955322
Archaeplastida	Chlorophyta	Microglena sp. YARC	2904290	GCA_022414725.1	48.5		short-read only	0	0	18	877103097
Archaeplastida	Chlorophyta	Micromonas bravo	296588	GCA_977071835.1	68.5			0	0	0	0
Archaeplastida	Chlorophyta	Micromonas commoda	296587	GCF_000090985.2	64.0	GCF_000090985.2	short-read only	0	0	132	9592045629
Archaeplastida	Chlorophyta	Micromonas pusilla	38833	GCA_937863545.1	67.5		short-read, long-read	4	88729	135	9250498378
Archaeplastida	Chlorophyta	Micromonas pusilla CCMP1545	564608	GCF_000151265.4	66.0	GCF_000151265.4	short-read only	0	0	108	6745804598
Archaeplastida	Chlorophyta	Micromonas sp. ASP10-01a	1621096	GCA_001430725.1	59.5			0	0	0	0
Archaeplastida	Chlorophyta	Micromonas sp. Co_Eukbin3	3242915	GCA_043251235.1	68.0			0	0	0	0
Archaeplastida	Chlorophyta	Micromonas sp. Co_Eukbin4	3242914	GCA_043251175.1	70.5			0	0	0	0
Archaeplastida	Chlorophyta	Micromonas sp. Co_Eukbin5	3242913	GCA_043251135.1	67.5			0	0	0	0
