supergroup	group	species	taxid	assembly_accession	gc%	annotation_accession	rnaseq_data	long-read_experiments	long-read_reads	short-read_experiments	short-read_reads	reference_gene_count	reference_transcript_count	reference_genome_size_bp	reference_coding_transcripts	reference_transcriptome_transcripts	reference_gene_density_per_mb	reference_transcript_density_per_mb	reference_isoforms_per_gene	reference_coding_fraction	reference_lineage_used	reference_gen_busco_custom_lineage	reference_prot_busco_custom_lineage	reference_gen_busco_eukaryote	reference_prot_busco_eukaryote	isoquant_gene_count	isoquant_transcript_count	isoquant_genome_size_bp	isoquant_coding_transcripts	isoquant_transcriptome_transcripts	isoquant_gene_density_per_mb	isoquant_transcript_density_per_mb	isoquant_isoforms_per_gene	isoquant_coding_fraction	isoquant_lineage_busco	isoquant_eukaryote_busco	isoquant_lineage_used	lyric_gene_count_regular	lyric_transcript_count_regular	lyric_genome_size_bp_regular	lyric_coding_transcripts_regular	lyric_transcriptome_transcripts_regular	lyric_gene_density_per_mb_regular	lyric_transcript_density_per_mb_regular	lyric_isoforms_per_gene_regular	lyric_coding_fraction_regular	lyric_lineage_used_regular	lyric_lineage_completeness_regular	lyric_eukaryote_completeness_regular	lyric_gene_count_merged	lyric_transcript_count_merged	lyric_genome_size_bp_merged	lyric_coding_transcripts_merged	lyric_transcriptome_transcripts_merged	lyric_gene_density_per_mb_merged	lyric_transcript_density_per_mb_merged	lyric_isoforms_per_gene_merged	lyric_coding_fraction_merged	lyric_lineage_used_merged	lyric_lineage_completeness_merged	lyric_eukaryote_completeness_merged	geneid_regular_gene_count	geneid_regular_transcript_count	geneid_regular_genome_size_bp	geneid_regular_coding_transcripts	geneid_regular_transcriptome_transcripts	geneid_regular_gene_density_per_mb	geneid_regular_transcript_density_per_mb	geneid_regular_isoforms_per_gene	geneid_regular_coding_fraction	geneid_regular_lineage_used	geneid_regular_isoquant_lineage_completeness	geneid_regular_isoquant_eukaryote_completeness	geneid_regular_lyric_lineage_completeness	geneid_regular_lyric_eukaryote_completeness	geneid_regular_reference_lineage_completeness	geneid_regular_reference_eukaryote_completeness	geneid_merged_gene_count	geneid_merged_transcript_count	geneid_merged_genome_size_bp	geneid_merged_coding_transcripts	geneid_merged_transcriptome_transcripts	geneid_merged_gene_density_per_mb	geneid_merged_transcript_density_per_mb	geneid_merged_isoforms_per_gene	geneid_merged_coding_fraction	geneid_merged_lineage_used	geneid_merged_isoquant_lineage_completeness	geneid_merged_isoquant_eukaryote_completeness	geneid_merged_lyric_lineage_completeness	geneid_merged_lyric_eukaryote_completeness	geneid_merged_reference_lineage_completeness	geneid_merged_reference_eukaryote_completeness
Amoebozoa	Amoebozoa	Acanthamoeba mauritaniensis	196912	GCA_000826465.1	58.5	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Acanthamoeba pearcei	65662	GCA_000826505.1	59.0	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Acanthamoeba polyphaga	5757	GCA_001567625.1	58.0	NA	short-read, long-read	1	7658297	78	3511389062	NA	NA	49353662	NA	NA	NA	NA	NA	NA	amoebozoa_odb12	63.1	NA	58.9	NA	20007	22275	49353662	17486	19991	405.38	451.33	1.113	0.8747	39.4	38.8	amoebozoa_odb12	7930	7930	49353662	3006	7930	160.68	160.68	1.000	0.3791	amoebozoa_odb12	3.0	7.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Acanthamoeba quina	211522	GCA_000826445.1	59.0	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Acanthamoeba rhysodes	32599	GCA_000826385.1	58.0	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Acanthamoeba royreba	32600	GCA_000826365.1	51.0	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Acanthamoeba sp. GP39-C1	3381675	GCA_978143355.1	58.0	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Acanthamoeba sp. SK_2022a	2919605	GCA_027943295.1	57.5	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Acanthamoeba sp. SK_2022b	2919604	GCA_027943245.1	58.0	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Acanthamoeba sp. SK_2022c	2919603	GCA_027944975.1	60.5	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Acanthamoeba terricola	196913	GCA_046055985.1	58.5	NA	short-read only	0	0	1	187421232	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Acanthamoeba triangularis	146752	GCA_902749335.1	58.5	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Acytostelium subglobosum LB1	1410327	GCF_000787575.1	44.0	GCF_000787575.1	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Balamuthia mandrillaris	66527	GCA_057986245.1	47.0	GCA_057986245.1	short-read only	0	0	65	4044628612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Cavenderia fasciculata	261658	GCF_000203815.1	34.0	GCF_000203815.1	short-read only	0	0	9	407064706	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Cochliopodium minus	313997	GCA_024220525.1	26.5	NA	short-read only	0	0	23	1137579034	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Dictyostelium brefeldianum	361069	GCA_013375695.1	28.5	NA	short-read only	0	0	8	263749366	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Dictyostelium capitatum	361071	GCA_015252635.1	32.0	NA	short-read only	0	0	8	298012086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Dictyostelium cf. discoideum	3454433	GCA_054859205.1	22.5	GCA_054859205.1	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Dictyostelium citrinum	361072	GCA_054859325.1	22.5	GCA_054859325.1	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Dictyostelium dimigraforme	142830	GCA_054859025.1	22.5	GCA_054859025.1	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Dictyostelium discoideum	44689	GCA_054883475.1	22.5	GCA_054883475.1	short-read only	0	0	2816	83591446997	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Dictyostelium discoideum AX4	352472	GCF_000004695.1	22.5	GCF_000004695.1	short-read only	0	0	314	10783680807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Dictyostelium firmibasis	79012	GCA_036169595.1	24.0	GCA_036169595.1	short-read only	0	0	3	399401650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Dictyostelium gargantuum	882403	GCA_015252675.1	31.5	NA	short-read only	0	0	8	288274292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebozoa	Amoebozoa	Dictyostelium intermedium	361076	GCA_000277465.1	25.0	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
